Paper,Sensor/System,Material,Geometry,Calibration/Validation,Deployment,Failure Mode / Lesson,Use in This Paper,Source
"Feinberg et al. 2018","Low-cost PM, O3, NO2 sensors in triplicate vs FEM reference","Sensor-package enclosures as shipped (not re-verified here)","Collocation at an urban regulatory site","7-month FEM collocation; correlation, trend reproduction","Denver, Colorado, 2015-2016, high-altitude cool dry climate","Data completeness evaluated as an explicit long-term performance metric alongside accuracy","Supports treating completeness/uptime as a reported metric of record for low-cost AQ deployments (Section 5.3)","https://doi.org/10.5194/amt-11-4605-2018"
"Bernard et al. 2019","PT100 in 12 naturally ventilated meteorological shelters (8 types) at the WMO Ghardaia intercomparison","Wood, plastic, plastic/steel, polyester/fiberglass, ABS/aluminum/nylon, thermoplastic/steel/aluminum per type; no thicknesses or optical values reported","Cuboid Stevenson-type and cylindric multiplate; per-type volume, cross-section and surface tabulated (e.g. Davis 7714 5.6 dm3 / 2.9 dm2 / 19 dm2)","Two-coefficient energy-balance model (response time + radiation sensitivity) fitted per shelter by least squares against the Davis 7714 pair as reference; 70/30 split x50","Ghardaia desert, Nov 2008-Oct 2009, 101,195 1-min steps","Coefficients are post-build fits; no internal-heat, wall-conduction or vent-area term; reference is itself a passive shelter; error does not vanish at high wind","DIRECT COMPETITOR for K2: the post-build energy-balance baseline the pre-build route must beat","https://doi.org/10.3390/cli7020026"
"Nakamura and Mahrt 2005","Onset HOBO Pro thermistor in a Davis 7714 multiplate shield vs RM Young aspirated RTD","Not reported for the shield","Multiplate, plates 0.188 x 0.213 m, 7 cm interior height, 1 m AGL over grass","Empirical RE = C0 + C1*X with X = Rad/(rho Cp T U); day R2 0.98; 2002 fit, 2003 independent check: daytime RMSE 0.29 -> 0.13 C","One grassland site, Mar-Aug 2002 + Jul-Aug 2003, 30-min averages","One shield, one surface; coefficients not transferable; 30-min averaging hides transients; corrected residual is reference-limited","Baseline single-group forcing ratio; this project's Pi_G generalizes X (adds absorptance, shading, area ratio, radiation coupling)","https://doi.org/10.1175/JTECH1762.1"
"von Rohden et al. 2022","Vaisala RS41 radiosonde sensor + boom (bare, no enclosure) in the SISTER wind tunnel","Not reported","Boom at 45 deg to flow; sonde rotated; incidence 0-90 deg","Lab sweep of pressure (3-1020 hPa), ventilation (0-7 m/s), irradiance; polynomial fit dT(p,v); u < 0.2 K (k=2); 154 daytime field soundings","One unit; 8 configurations; Lindenberg 2014-2021","Fitted on the built object; no vents, no internal dissipation; largest uncertainty is ventilation speed (0.5 m/s)","Lab step-response protocol; dT linear in irradiance and ~v^-b (b 0.3-0.65) as transferable checks","https://doi.org/10.5194/amt-15-383-2022"
"Barkjohn et al. 2021","PurpleAir PA-II (2x PMS5003 + BME280 under PVC cap) vs FRM/FEM PM2.5","PVC cap; otherwise not reported","BME280 above the particle sensors under the cap","US-wide linear PM2.5 correction using onboard RH; PM RMSE 8 -> 3 ug/m3; NO reference T/RH used","50 sensors, 39 sites, 16 states, 2017-2020, ~12,000 24-h pairs","Contains no own T/RH bias measurement; quotes 2.7-5.3 C warm / 9.7-24.3 % dry from Holder 2020 and Malings 2020; 24-h averaging hides self-heating","Documents that PM corrections absorb an enclosure T/RH bias; NOT a source for the +2.6 C figure","https://doi.org/10.5194/amt-14-4617-2021"
"Couzo et al. 2024","One PurpleAir PA-II (BME280) vs Campbell 107 / Vaisala HMP45C at an NC ECONet tower","White plastic shell, type/thickness not reported","85 x 85 x 125 mm shell open at the bottom; PA at 3 m, reference at 2 m (uncorrected)","Linear correction from 148,230 5-min pairs; T bias +2.6 C (RMSE 2.8), rising 1.8 -> 4.2 C with ambient bin; RH bias -17.4 %","One sensor, one site, 553 days","n=1; no wind, solar or power covariates, so self-heating cannot be separated from radiative loading; reference uncertainties not stated","THE primary source for the low-cost AQ enclosure T/RH bias magnitude and its ambient-temperature dependence","https://doi.org/10.3390/atmos15040415"
"Ishizuka et al. 2012","Model natural-air-cooled electronics casing with a wire heater (6-40 W); 14 K-type thermocouples","Plastic wall 10 mm, reported k = 0.01 W/mK (quoted as printed)","220 x 230 x 310 mm; bottom inlet 150 x 130 mm; side outlet 150 x 50 mm with 6 porosities, 3 heights; 3 heater heights","Indoor still-air steady state; closed-box loss Qs = 0.445 dTm^1.25; chimney balance with K = 0.4 X^-1.5, X = Re beta^2/(1-beta) (apparatus-specific prefactor)","One casing; parametric sweep; durations not reported","No wind or solar; constants specific to this casing; conference-proceedings venue","Only checked source coupling internal power, vent porosity and chimney height; supplies the vent-flow group and the Q^0.8 sealed-limit test","https://doi.org/10.1088/1742-6596/395/1/012122"
"Buckingham 1914","n/a (dimensional analysis theory)","n/a","n/a","Pi theorem: complete relation reduces to i = n - k dimensionless groups","n/a","Group set is NON-UNIQUE (p.350); completeness is a precondition; theorem gives no functional form","Primary citation for Study A nondimensionalisation and for the caution that the five groups are one of several equivalent sets","https://doi.org/10.1103/PhysRev.4.345"
"Sonin 2001 (MIT course monograph, NOT peer-reviewed)","n/a","n/a","n/a","Modern Pi theorem; fixed-value-quantity count N = (n-k)-(nF-kF)","n/a","Incomplete variable set destroys the analysis; superfluous variables add useless groups; completeness depends on the asserted regime","Modern statement + the a-posteriori-collapse-as-evidence argument; cite alongside Buckingham, never alone","https://web.mit.edu/2.25/www/pdf/DA_unified.pdf"
"Ostrach 1953 (NACA Report 1111)","n/a (analysis, compared to air/oil/mercury experiments)","n/a","External flat plate parallel to body force, infinite medium","Similarity reduction of free convection to Gr and Pr; Nu = 0.548[(Pr)(Gr)]^0.25 for air","n/a","Quarter-power law good only in restricted Pr ranges; Boussinesq small-temperature-difference assumption; laminar, large Gr only","Precedent that a closed-form law holds in one regime and fails in another; 'Grashof number alone determines flow type'","https://ntrs.nasa.gov/api/citations/19930092147/downloads/19930092147.pdf"
"Churchill and Chu 1975 (FULL TEXT NOT VERIFIED)","unknown","unknown","Vertical plate, infinite medium","unknown - paywalled, no OA copy; identity verified via Crossref only","n/a","No content may be attributed until read","Records the access attempt; canonical vertical-plate Nu(Ra,Pr) citation once obtained via institutional access","https://doi.org/10.1016/0017-9310(75)90243-4"
"Bar-Cohen and Rohsenow 1984 (FULL TEXT NOT VERIFIED, abstract only)","unknown","unknown","Symmetric/asymmetric isothermal or isoflux vertical parallel plates (from abstract)","unknown - ASME paywall; abstract states composite relations + optimising equations","n/a","No correlation or optimum-spacing formula may be attributed until read","Archival replacement for the ishizuka2012 proceedings citation on chimney-driven convection, once obtained","https://doi.org/10.1115/1.3246622"
"JCGM 100:2008 (GUM)","n/a (metrology guide)","n/a","n/a","Combined standard uncertainty, sensitivity coefficients, correlated inputs, U = k*u_c","n/a","First-order propagation only; k=2 gives ~95% only under the four G.6.6 conditions; no Monte Carlo (that is JCGM 101)","THE uncertainty-budget authority; its 5.2.2 shared-standard example is this pilot's one-reference-many-units case","https://www.bipm.org/documents/20126/2071204/JCGM_100_2008_E.pdf"
"Arlot and Celisse 2010","n/a (statistics survey)","n/a","n/a","Hold-out and cross-validation risk estimators; penalisation as complexity measure","n/a","i.i.d. assumption (enclosure time series are autocorrelated); declines to prescribe a procedure; gives no parameter-count penalty formula","Formal basis for the K2 held-out comparison and for why in-sample comparison is inadmissible","https://doi.org/10.1214/09-SS054"
"Holder et al. 2020","PurpleAir PA-II-SD, Aeroqual AQY, SenSevere RAMP; GRIMM EDM 180 FEM for PM","PVC cap; otherwise not reported","Met sensor above particle sensors under the PVC cap","n = 5454 hourly T pairs, 4654 RH; Aug 2018 - Apr 2019","6 deployments incl. 5 wildfire sites","T/RH reference never identified, no uncertainty; n = 2 sensors for the T/RH statistics; cause asserted not measured","ORIGIN of the 5.3 degC end of Barkjohn's quoted range: measured MBE +5.23 degC, RH -24.30 %","https://doi.org/10.3390/s20174796"
"Malings et al. 2020","PurpleAir PA-II, Met One NPM, RAMP; regulatory BAMs for PM","Plastic shell","Not reported","9 PurpleAir units, Lawrenceville, 30 Mar - 4 Jun 2018","4 sites, Pittsburgh, Jan 2017 - Jun 2018","T/RH bias is a bare two-clause aside: no n, no RMSE, no reference named; mechanism asserted as shell heat-TRAPPING, different from Holder's electronics claim","ORIGIN of the 2.7 degC end: +2.7 degC / -9.7 pp internal vs outside; hygroscopic correction cut MAE ~40 %","https://doi.org/10.1080/02786826.2019.1623863"
"Shlipak et al. 2025 (Air-STORM)","K-type thermocouples on walls/battery/air; Davis Vantage Pro2 ambient reference","Aluminium, fiberglass-reinforced polyester, ABS, and a commercial PurpleAir PVC endcap","Four enclosures, sizes tabulated; 3-D finite-difference thermal model, open source","One month rooftop, 15 min averages, Colorado","12-day solar-charging validation; 2023 global demonstration","Internal heat generation ESTIMATED from rated input power as an upper bound, never measured; PurpleAir absent from the wattage table; no RH/PM/gas error","STRONGEST source for the internal-dissipation axis: PurpleAir enclosure MB +1.88 degC, daily max +6.48 degC; internal air ~ wall ~ battery within 0.25 degC; 1-5 W typical dissipation; night convergence constrains the COMBINED heat balance and does NOT identify the solar/self-heating split (corrected 2026-09-24: long-wave loss can offset electronics heating)","https://doi.org/10.3390/s25154798"
"Jayaratne et al. 2018","Plantower PMS1003; TSI DustTrak DRX and TEOM references","Sealed weather-proof box 150 x 120 x 100 mm (field housing only)","Aperture with sensor's own fan","Chamber at constant true PM2.5 10 +/- 1 ug/m3; 24-day field","Brisbane, Jul-Aug 2017","PMS1003 not PMS5003; n = 1; field TEOM itself humidity-affected; reports endpoints not a per-%RH slope","PM-error-per-RH transfer function: flat below ~78 % RH, +80 % of reading from 78 to 89 %, hysteresis to ~50 %","https://doi.org/10.5194/amt-11-4883-2018"
"Samad et al. 2020","Alphasense CO-B4, NO-B4, NO2-B43F, OX-B431; Horiba/MLU references with stated accuracies","Sensor chamber with boards, ADCs, logger","Not an enclosure study - temperature imposed externally","96 lab runs: 6 RH x 4 T levels, repeated; 1 month field validation","Stuttgart, Nov 2019","n = 1 per gas; coefficients not validated on a second unit; NO2/O3 unsatisfactory after correction","Gas-error-per-temperature transfer function: published RH+T correction polynomials in ppb; 10-25 degC usable window; NO2 zero drift to -200 ppb at high T","https://doi.org/10.3390/s20185175"
"Popoola et al. 2016","Alphasense electrochemical NO/CO/NO2; chemiluminescence reference","Not the subject","Not the subject","10 months ambient field, 0.0-36.0 degC","Cambridge UK, Feb-Dec 2010","Field study so temperature covaries; species-dependent (NO R2 ~0.9, CO/NO2 < 0.2); no per-degC coefficient published","Field-scale magnitude: temperature-driven NO baseline error ~250 ppb, R2 0.02 -> 0.78 after correction; effect is on BASELINE not gain","https://doi.org/10.1016/j.atmosenv.2016.10.024"
"Tychanicz-Kwiecien et al. 2025","n/a (materials study); Unitherm TM 2022, ASTM E1530","Zortrax PLA, PET-G, ABS; black","Discs 50.8 mm x 8 mm; infill 40/60/80/100 %, honeycomb and grid","Three repeats per point; uncertainty +/-0.004 to 0.006 W/mK","n/a","No anisotropy; layer orientation vs heat flow not stated; 8 mm discs unlike a 3 mm wall","Measured printed k: PLA 0.182, PET-G 0.198, ABS 0.172 at 100 % infill; ~30 % drop at 40 % infill. CONTRADICTS the handbook PLA 0.13","https://doi.org/10.3390/ma18173950"
"Janek and Hardon 2026","n/a; custom transient pulse method, GUM budget (k=2) 10.7 %","FDM ABS, 1.5 mm specimens, effective density 1040 kg/m3","Cut in two directions from one printed block","Validated against an isotropic reference standard","n/a","NO print parameters reported; specific heat assumed not measured; custom non-standard apparatus","THE directional source: through-layer 0.1039 vs in-plane 0.1664 W/mK, anisotropy 1.60. Through-thickness is BELOW every handbook value used","https://doi.org/10.3390/metrology6030048"
"Baraboi et al. 2026","n/a; Feutron 4110 guarded hot plate, ASTM C177 / EN 12667","PLA Basic, PLA Aero, PETG, PET-CF","200 x 200 x ~10 mm, 100 % rectilinear, +/-45 deg, layers perpendicular to heat flow","Three repeats; expanded uncertainty (k=2) +/-3.2 to 4.8 %","n/a","100 % infill only; one mean temperature; authors explicitly forbid anisotropy conclusions","Highest-credibility per-material number: PLA 0.267, PETG 0.290, PLA Aero 0.114 W/mK. PETG CONFIRMS handbook 0.29; PLA is 2.05x the handbook 0.13","https://doi.org/10.3390/ma19132793"
"Lopes et al. 2023","n/a; ISO 9869-1 heat flow in an ASTM C1363 hotbox","PET-G","12 infill patterns at fixed 25 % density; 100 mm thick panels","Validated in-line against an XPS reference plate","n/a","100 mm panels, 1.2 mm nozzle - geometrically remote from a 3 mm wall; no uncertainty on k; low-infill results only as U-values","Pattern alone moves k by 82 % at fixed density (0.057 to 0.104 W/mK) - refutes a naive volume-fraction porosity correction","https://doi.org/10.3390/polym15102268"
"Rodriguez et al. 2023","n/a; DTC-25 guarded heat flow, ASTM E1530","PLA3080, ABS, PEEK, TPU, ULTEM, Al-filled PLA","Discs ~50 mm at ~5 and ~10 mm; 100 % density, 45 deg rectilinear","N = 6 per material; five calibration standards","n/a","+/-0.06 uncertainty swamps material differences; gradient-averaged over 2-55 degC; no direction or infill variable","Independent cross-lab corroboration: printed PLA and ABS both 0.22 +/- 0.06 W/mK at 100 % infill","https://doi.org/10.3390/ma16237384"
"Morgan et al. 2017 (LANL report, NOT peer reviewed)","n/a; Gier-Dunkle reflectometer, FLIR SC8300","Printed Red ABS, uPrint ABS, Gray/Natural/conductive PLA","Coupons 2 x 2 x 0.25 in, solid infill, two build orientations","No stated uncertainty, no wavelength band","n/a","Unreviewed preliminary report; authors disown their own angular-emissivity figure; colour confounded with brand","Only measured emissivity of printed PLA/ABS: ~0.88-0.92 normal, unchanged by build orientation. NO solar absorptance measured","https://www.osti.gov/biblio/1341825"
"Amendola et al. 2021","n/a; Jasco V-570 spectrophotometer 400-1300 nm","18 PLA + 7 ABS filaments, many colours and brands","Sheets 20 x 20 mm, 0.23-0.58 mm thick","No uncertainty budget; spectra in figures only, data at Zenodo","n/a","No tabulated values in the paper; band stops at 1300 nm; sheets 5-10x thinner than a 3 mm wall","Thin printed walls are NOT optically opaque in 400-1300 nm, and brand/filler/print temperature dominate over colour - a single alpha by colour name is indefensible","https://doi.org/10.1371/journal.pone.0253181"
"Kocar et al. 2024","n/a; QUV chamber ISO 4892-3, CIELAB colorimetry","PLA in yellow, orange, red","Infill 20/60/100 %","432 h accelerated exposure, 50 MJ/m2","n/a","Accelerated chamber not outdoor; only warm colours, no white/black/grey; no uncertainty on Delta-E","Printed PLA colour drifts measurably (Delta-E* 3.0-6.1 in 432 h) and low infill drifts more - an alpha registered at build time needs a re-inspection route","https://doi.org/10.3390/ma17235908"
"Berdahl and Martin 1984","LBL spectral sky radiometer + pyrgeometer; ground dewpoint","n/a","n/a","30,835 half-hourly clear-sky observations, 57 months","6 southern-US low-elevation sites","Monthly averages not instantaneous; no high-altitude/high-latitude validation; clear sky only","REFUTES a fixed sky depression: clear-sky emissivity is a function of dewpoint; implied depression spans ~4 to ~34 K, and 20 K corresponds to T_dp ~8-12 degC","https://doi.org/10.1016/0038-092X(84)90144-0"
"Formetta et al. 2016","Eppley pyrgeometers +/-3 W/m2 at AmeriFlux stations","n/a","n/a","10 clear-sky parameterizations benchmarked; hourly data","24 stations, contiguous USA","Flux-tower sites, not enclosures; RMSE reported in W/m2 not K; no view-factor treatment","Bounds any clear-sky model: best (Idso, Brunt) reach RMSE <= 39 W/m2 with literature coefficients, and site recalibration HALVES the error","https://doi.org/10.5194/hess-20-4641-2016"
"Defraeye et al. 2011","n/a (CFD + review of measured correlations)","n/a","Building facades and wind-tunnel bluff bodies; isolated cube","~12 measured correlations tabulated with reference-wind definitions","Full-scale field and wind-tunnel studies","Smallest object is a 3 m cube - nothing enclosure-scale; no uncertainty figures for any correlation","SUPPLIES THE MISSING PROVENANCE of h = a + b*U: Juerges is 4.0U + 5.6, valid U <= 5 m/s, on free-stream U. Against weather-station U10 all measured slopes are 0.90-2.9, not 4.0","https://doi.org/10.1016/j.enconman.2010.07.026"
"Berdahl and Bretz 1997","Perkin-Elmer Lambda 9 + integrating sphere; portable emissometer (+/-0.05)","White acrylic coatings, asphalt shingles, black acrylic paint, clay tile, galvanized steel","10 cm square outdoor samples on foam","Spectral 0.3-2.5 um, NIST-traceable Spectralon; outdoor Nov and Jul tests","Berkeley CA","Roofing not plastics; emittance +/-0.05 too coarse; outdoor h_c inferred from a regression slope with no wind measurement and a +4 degC edge artefact","Measured alpha: black paint and black shingle 0.95; white coatings 0.15-0.26; white shingle 0.79. Gives h_r = 5.5 W/m2K at eps 0.9, and states 10 % accuracy in (h_r + h_c) is NOT feasible","https://doi.org/10.1016/S0378-7788(96)01004-3"
"Barreira et al. 2021","Emissometer ASTM C1371 (+/-0.02); IR camera with black-tape method ASTM E1933","Nine pigmented PVC/vinyl and coated cloth films, five colours, two gloss levels; nine building materials","n/a","Three measurements per material; two independent methods","Laboratory, room temperature","Tapes not moulded/painted/printed enclosure plastic; no spectral or directional data; instrument accuracy same order as the discrepancy","Measured polymer emissivity 0.86-0.89, BELOW the usual 0.90-0.95 literature band; colour and gloss barely change eps (justifies one eps for dark and light variants); wrong eps costs ~1.3 degC typical, up to 7 degC","https://doi.org/10.3390/s21061961"
