"id","quantity","value","unit","provenance","evidence_status","source_or_route","uncertainty_or_range","used_by","blocks_if_wrong","canonical_definition"
"P-FSKY-V0","Sky-view fraction, baseline box","0.50","-","provisional_estimate","UNCITED","no source located in the search record","unknown","night bias; N_r weighting","night sign reversal","TODO measurement/derivation - geometric, from CAD"
"P-FSKY-SH","Sky-view fraction, shielded element","0.05","-","provisional_estimate","UNCITED","no source located in the search record","unknown","shield night behaviour","why a shield does not over-cool","TODO measurement/derivation - geometric, from CAD"
"P-PHI","Shield solar factor (shading fraction)","0.18","-","provisional_estimate","UNCITED","no source located in the search record","perturbed to 0.30 in the sensitivity screen","V1 solar load; Pi_G","ONE OF THE THREE AXES whose combination reverses the advantage","TODO measurement - I2/I3 in the experiment contract"
"P-CBOOST","Shield convection enhancement","1.4","-","provisional_estimate","UNCITED","no source located in the search record","perturbed to 1.0 in the screen","V1 h_eff","ONE OF THE THREE AXES whose combination reverses the advantage","TODO measurement - I3"
"P-PREHEAT","Calm-wind shield air pre-heat","1.2","K","provisional_estimate","UNCITED","empirical closure, no source located","perturbed to 2.4 K in the screen","Pi_delta","ONE OF THE THREE AXES whose combination reverses the advantage","TODO - Study B replaces with resolved vent flow"
"P-PREHALF","Pre-heat wind half-life","1.5","m/s","provisional_estimate","UNCITED","empirical closure, no source located","unknown","Pi_delta decay with wind","low-wind shield behaviour","TODO - Study B"
"P-HFAN","Forced-convection coefficient, aspirated V2","25.0","W/m^2K","provisional_estimate","UNCITED","no source located","unknown","V2 only","V2 is not in the minimum campaign","TODO if V2/aspiration is promoted (I6)"
"P-APROJ-V0","Sun-facing projected area, baseline","0.030","m^2","provisional_estimate","LAB_REQUIRED","TODO-from-lab; ~0.17 m face assumed","unknown","Pi_G","every daytime result","EN-CAD-02 owner inventory; route = measurement"
"P-ACONV-V0","Convecting/radiating area, baseline","0.090","m^2","provisional_estimate","LAB_REQUIRED","TODO-from-lab","unknown","Pi_G; h*A_conv","EFFECTIVE COUPLED area, not total CAD surface","EN-CAD-02; route = measurement"
"P-APROJ-SH","Effective sun-exposed area, shielded zone","0.012","m^2","provisional_estimate","LAB_REQUIRED","TODO-from-lab","unknown","V1 solar load","V1 results","EN-CAD-02; route = measurement"
"P-ACONV-SH","Convecting area, shielded element","0.020","m^2","provisional_estimate","LAB_REQUIRED","TODO-from-lab","unknown","V1 convective sink","V1 results","EN-CAD-02; route = measurement"
"P-QINT-V0","Internal dissipation reaching the sensor, single-zone","0.8","W","provisional_estimate","LAB_REQUIRED","TODO-from-lab; shlipak2025 brackets low-cost monitors at 1-5 W but ESTIMATES from rated input","1-5 W external bracket, not a measurement of this unit","N_Q","THE distinctive axis - no source measures it for an AQ enclosure","I1 controlled power intervention; measure V and I"
"P-QINT-SH","Residual self-heating, two-zone layout","0.1","W","provisional_estimate","LAB_REQUIRED","TODO-from-lab","unknown","N_Q for V1","two-zone benefit claim","I1"
"P-KWALL","Printed polymer wall conductivity","0.104-0.290","W/mK","measured_result_external","literature_measured","baraboi2026 PLA 0.267 PETG 0.290 (ASTM C177, k=2 +/-3.2-4.8%); janek2026 ABS through-layer 0.1039, anisotropy 1.60; tychaniczkwiecien2025; rodriguez2023","through-layer vs in-plane differ by 1.60x; infill pattern moves effective k by 82%","Biot screening","the Biot claim; NOT a property of OUR specimen","literature/REVIEW_2026-09-22.md sec 3"
"P-BI","Wall Biot number, 3 mm printed wall","0.07-0.72","-","calculated_result","analytically_assessed","computed from P-KWALL and the implied h range 6.8-25 W/m^2K","up to ~1.3 if genuinely infilled; >1 means the isothermal assumption is VIOLATED","lumped-model validity","whether a single-node model is admissible","docs/studyA_nondimensional.md sec 3"
"C-ADV-NOM","Day-case absolute-bias advantage, V1 over V0P, nominal","1.4771","degC","calculated_result","analytically_assessed","matched_control_sensitivity on the committed solver","selected illustrative scenario - NOT a measured bound or a probability","novelty framing","PROHIBITED as an acceptance threshold","analysis/matched_control_sensitivity.py"
"C-ADV-COMB","Same advantage with all three illustrated perturbations","-1.5531","degC","calculated_result","analytically_assessed","same solver; sf 0.30, cb 1.0, preheat 2.4 K","reversal driven largely by UNCITED inputs (P-PHI, P-CBOOST, P-PREHEAT)","measurement priorities","identifies what must be measured","analysis/matched_control_sensitivity.py"
"C-BALRES","Max residual of the exact nonlinear dimensionless balance","5.478e-9","-","calculated_result","analytically_assessed","balance_residual over all 1944 DOE points","solver tolerance","Study A verdict","shows similarity was NEVER falsified","analysis/nondimensional.py"
"T-SLOTS","Planned one-minute slots over 24 h","1440","count","requirement","selected_design_value","COLOCATION_PROTOCOL.md - prospective campaign choice","exclusive end; no interpolation","data readiness","admissibility, not scientific adequacy","docs/COLOCATION_PROTOCOL.md"
"T-PAIRED","Minimum paired finite fraction","90","%","requirement","selected_design_value","COLOCATION_PROTOCOL.md","per arm; cross-variant coverage is lower and reported separately","data readiness","admissibility","docs/COLOCATION_PROTOCOL.md"
"T-EXPOSURE","Minimum paired slots at solar >=200 and <=5 W/m^2","120 / 120","count","requirement","selected_design_value","COLOCATION_PROTOCOL.md","two-hour exposure coverage, NOT independent samples","data readiness","exposure coverage","docs/COLOCATION_PROTOCOL.md"
"T-U95","Declared combined expanded paired-temperature uncertainty","<=0.5","degC","requirement","selected_design_value","COLOCATION_PROTOCOL.md; implies u_c <= 0.25 degC at k=2 with GUM G.6.6 conditions DEMONSTRATED","instrumentation target, not achieved hardware accuracy","uncertainty budget (T2)","whether any comparison is admissible","docs/specs/pilot-readiness/pilot-design-2026-09-24.md R3.2"
"T-APPROX","Approximation-error band on the linearised law","3","% relative","selected_design_value","EXPLORATORY","selected threshold; NOT preregistered - no dated pre-run record","absolute degC is the primary metric; relative is ill-conditioned near zero bias","Study A reporting","nothing scientific - it is an approximation threshold","docs/studyA_nondimensional.md sec 5"
"T-MESH","Mesh convergence: sensor dT change between the two finest levels","<0.1","degC","selected_design_value","unverified","Study B numerical verification threshold with rationale","requires refinement ratios and a non-monotonic check; not a mesh-error bound alone","Study B step 3","numerical verification only","docs/specs/study-b-cht/design.md sec 3, 9.3"
"T-ENERGY","Energy-balance residual","<1","% of a declared reference scale","selected_design_value","unverified","Study B; normalisation must be declared because G=0 and Q=0 divide by zero","report absolute W alongside","Study B step 4","numerical verification only","docs/specs/study-b-cht/design.md sec 9.4"
"T-APPTOL","Application tolerance for temperature error","UNRESOLVED","degC","requirement","UNRESOLVED","owner packet row 16 - intended use has not been stated","unknown","fit-for-purpose verdict","NO result can be called adequate or inadequate without it","docs/OWNER_DECISIONS_2026-09-24.md row 16"
"T-NODETOL","Node-equivalence tolerance for the single-node approximation","UNRESOLVED","degC","requirement","UNRESOLVED","experiment contract sec 1 - must be registered with rationale","unknown","commissioning adequacy decision","whether a single-node model is admissible","docs/specs/pilot-readiness/experiment-contract-2026-09-24.md sec 1"
"X-COUZO","PurpleAir onboard temperature bias","+2.6","degC","measured_result_external","field_measured","couzo2024: 148,230 pairs, 553 d, n=1 unit; RMSE 2.8; rises 1.8->4.2 degC with ambient","n=1, no wind/solar/power covariates","sanity bound only","NOT an input; cause not decomposed","ProConsList/couzo2024.md"
"X-HOLDER","PurpleAir onboard temperature bias","+5.23","degC","measured_result_external","field_measured","holder2020: MBE, n=5454 hourly pairs, 2 sensors; RH MBE -24.30%","T/RH reference never identified","sanity bound only","NOT an input","ProConsList/holder2020.md"
"X-AIRSTORM","PurpleAir-enclosure internal-vs-ambient elevation","+1.88 mean / +6.48 daily max","degC","measured_result_external","field_measured","shlipak2025: one month, RMSE 2.84","internal heat generation ESTIMATED from rated input, not measured","sanity bound; lumped justification (air~wall~battery within 0.25 degC)","NOT an input","ProConsList/shlipak2025.md"
